price,vin,stock,model,body,exterior,interior,engine,location
" $18,367",3MYDLBYV6LY711928,LY711928,6262,Sedan,Silver,Gray,Regular Unleaded I-4 1.5 L/91,Baierl Toyota
" $21,952",JTDHPRAE5LJ069715,LJ069715,1852,Sedan,Gray,Light Gray,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $22,323",JTND4RBE7L3080415,L3080415,6276,Hatchback,Silver,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $21,953",JTDHPRAE6LJ073157,LJ073157,1852,Sedan,Black,Light Gray,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $22,400",JTND4RBE0L3074441,L3074441,6276,Hatchback,White,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $21,953",JTDHPRAE4LJ073206,LJ073206,1852,Sedan,Gray,Black,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $23,005",5YFS4RCE3LP042732,LP042732,1864,Sedan,Black,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $21,851",NMTKHMBX4LR105191,LR105191,2402,Sport Utility,Gray,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $18,409",3MYDLBJV9LY709309,LY709309,1466,Hatchback,Blue,Blue Black,Regular Unleaded I-4 1.5 L/91,Baierl Toyota
" $18,409",3MYDLBYV4LY708350,LY708350,6262,Sedan,Gray,Blue Black,Regular Unleaded I-4 1.5 L/91,Baierl Toyota
" $20,173",5YFEPRAE3LP057156,LP057156,1852,Sedan,Blue,Light Gray,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $20,173",JTDEPRAE4LJ070633,LJ070633,1852,Sedan,Red,Macadamia,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $20,338",5YFEPRAE1LP066227,LP066227,1852,Sedan,Blue,Light Gray,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $21,952",JTDHPRAE7LJ067741,LJ067741,1852,Sedan,Blue,Light Gray,Regular Unleaded I-4 1.8 L/110,Baierl Toyota
" $18,409",3MYDLBJV0LY704547,LY704547,1466,Hatchback,Gray,Blue Black,Regular Unleaded I-4 1.5 L/91,Baierl Toyota
" $26,345",JTNC4RBEXL3083739,L3083739,6274,Hatchback,Black,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $26,106",JTDKARFUXL3107418,L3107418,1223,Hatchback,Red,Black,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $26,349",4T1G11AK5LU362514,LU362514,2536,Sedan,Black,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $26,594",JTDT4RCE8LJ021805,LJ021805,1866,Sedan,Blue,Black,Regular Unleaded I-4 2.0 L/121,Baierl Toyota
" $26,302",4T1G11AK6LU355250,LU355250,2536,Sedan,White,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $26,353",4T1G11AK3LU350751,LU350751,2536,Sedan,White,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $23,308",JTDEBRBE2LJ025137,LJ025137,1882,Sedan,Gray,Light Gray,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $25,939",4T1L11AK8LU935503,LU935503,2532,Sedan,Black,Ash,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $25,660",4T1G11AK4LU343985,LU343985,2546,Sedan,Blue,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $25,882",4T1L11AK7LU951174,LU951174,2532,Sedan,White,Ash,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $25,728",JTDKARFUXL3105989,L3105989,1223,Hatchback,Black,Harvest Beige,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $23,479",JTDEBRBE7LJ029006,LJ029006,1882,Sedan,White,Light Gray,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $25,728",JTDKARFU5L3106774,L3106774,1223,Hatchback,Black,Moonstone,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $24,534",JTDKARFU4L3118639,L3118639,1221,Hatchback,Silver,Black,Gas/Electric I-4 1.8 L/110,Baierl Toyota
" $24,719",4T1C11AK7LU343560,LU343560,2532,Sedan,Blue,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $28,550",2T3G1RFV1LW085899,LW085899,4432,Sport Utility,White,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $28,620",JTMG1RFV4LD051081,LD051081,4432,Sport Utility,Gray,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
